checklist_id,event_id,category,item,status,notes,required
adad24a9-de3b-46db-92de-2a400cd44fd5,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Catering,Submit catering request form,Pending,,True
e88e9dc3-03a4-46ff-8c8c-a8c0d0136c5d,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Catering,Confirm guest headcount with caterer,Pending,,True
57a537a7-32d8-476e-85f0-dc6e12bdfd82,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Catering,Confirm guest dietary and allergy accommodations,Pending,,True
6ee95dac-bfe4-4043-a648-82e04539181e,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Catering,Confirm delivery time and setup location,Pending,,True
87e583ce-7219-42e7-bb60-4f16b7ae4f1f,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Catering,Send final headcount to caterer (10 business days before),Pending,,True
6910c615-e513-4978-9191-b64006bfd558,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Catering,Order linens if needed,Pending,,False
a5754251-5595-47db-b00b-7fab29d3da89,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Facilities & Service Requests,"Request room setup including layout (tables, chairs)",Pending,,True
69aca378-e79a-46cc-807b-e71fed56f0f4,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Facilities & Service Requests,Confirm load-in and setup time with facilities,Pending,,True
0b6391c0-1cba-43d2-b026-62b96fdcdac6,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Facilities & Service Requests,Submit custodial services request,Pending,,True
d3445d93-d34e-4112-b22d-5cfd9c46f3dc,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Facilities & Service Requests,Request post-event room breakdown and cleanup,Pending,,True
484f6fc9-06c7-461c-8f7d-a62057ebc556,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Facilities & Service Requests,Confirm HVAC settings for event,Pending,,False
55e19694-921c-418b-94d0-da1f9ef3083a,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Facilities & Service Requests,Request extension cords and power strips (for outdoor events),Pending,,False
4e7b0763-1b8a-4e2a-add3-009cc99bea55,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Facilities & Service Requests,Submit service request for landscaping and pest control (for outdoor events),Pending,,False
04817d17-b8f9-4980-9bda-e41c20eb100b,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Reserve parking lot or designated section,Pending,,True
5b3fb6ba-1e26-4af3-8802-273b9e19b78d,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Request guest parking permits,Pending,,True
fcd94ca5-eef1-4c67-9ede-f63eb4747205,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Arrange ADA accessible parking spaces,Pending,,True
23e1d7d8-7827-4dcc-a90a-2a85e3092c04,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Coordinate with campus parking services office (UPD),Pending,,True
14e9298d-2c06-4479-ac0d-04592d41f8f7,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Get parking confirmation number,Pending,,True
4bd81e08-e125-4c17-8873-4e4c98201183,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Send parking instructions and map to attendees,Pending,,True
7846bd07-b675-4db7-9917-2dc6e99959af,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Request parking signage for event,Pending,,False
768a5b7e-08fb-48c7-8cde-337ab2303e3d,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Arrange shuttle service if needed,Pending,,False
a40022e4-249d-4dac-b427-994f4a52f673,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Request traffic control for large events,Pending,,False
12e18c29-c71b-4ff3-9d0c-372ff6900d0d,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Parking,Confirm parking attendant coverage,Pending,,False
32e75dd2-ad93-4b4e-b148-f1eaf9f6be0a,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,Submit event request to University Affairs Ceremonies and Events (UACE),Pending,,True
7832786d-1e7b-4cce-853f-6485460cbec1,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,Reserve room through 25Live,Pending,,True
0bf766b1-8d95-49fe-800e-17b701806aa6,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,Meet with Event Professional to review event logistics,Pending,,True
654a4c97-93cc-432e-8e48-d0b05993cc44,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,Confirm event-day point of contact,Pending,,True
5480314f-ba86-46fb-8a40-92b58f7da569,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,Review event run-of-show with UACE coordinator,Pending,,True
a9329da2-aabd-4670-bccf-330fa8a015bb,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,Confirm event timeline and schedule with UACE,Pending,,True
98c1cdf2-9fba-4960-87af-48824a56b891,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,"Request AV equipment (projector, microphone, screen)",Pending,,False
1392e5df-643b-4184-a1f8-54632e980b1e,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,"Confirm ceremonial equipment needs (stage, podium, banners)",Pending,,False
fa6c9ec2-9dd2-49f0-abc6-80077b4ca136,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,Coordinate VIP or dignitary arrangements with UACE,Pending,,False
d50e24fa-9637-4d6e-bd1f-ab489465db47,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,Review campus protocols and event procedures with UACE,Pending,,True
97b71926-4c4b-42a1-81d8-1b8226ee0944,9f64f43c-1213-423c-96d2-a0a5c073e0ba,UACE,Get UACE event approval and confirmation,Pending,,True
106bf10b-b966-4a08-910c-fa7802f4b8db,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Billing,Request cost estimate from Facilities Management (FMD),Pending,,True
e0fb3f05-e368-4b0c-9c4a-4fb3a6519e84,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Billing,Receive and review FMD estimate,Pending,,True
90a00f95-2ac1-4413-b297-db20a184dd54,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Billing,Request cost estimate from Catering vendor,Pending,,True
50bcbd91-ab2e-49e9-8eb3-d295c9dc950a,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Billing,Receive and review Catering estimate,Pending,,True
655cff22-a25d-4bc9-aeff-b3e002cbbf85,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Billing,Request cost estimate from University Police / Parking (UPD),Pending,,True
0ce34d7b-4048-48e9-b15b-1e45320c35cc,9f64f43c-1213-423c-96d2-a0a5c073e0ba,Billing,Receive and review UPD estimate,Pending,,True
